NR.,CODICE UNIONE,REGIONE,PROVINCIA,DESCRIZIONE UNIONE DI COMUNI,DATA COSTITUZIONE,NR. COMUNI,COMUNI,POP. UOMINI,POP. DONNE,POP. TOTALE
6,2080666010,EMILIA-ROMAGNA,RAVENNA,UNIONE DEI COMUNI DELLA BASSA ROMAGNA,1-Gen-2008,9,FUSIGNANO,4049,4210,8259
7,2080666010,EMILIA-ROMAGNA,RAVENNA,UNIONE DEI COMUNI DELLA BASSA ROMAGNA,1-Gen-2008,9,LUGO,15247,16815,32062
8,2080666010,EMILIA-ROMAGNA,RAVENNA,UNIONE DEI COMUNI DELLA BASSA ROMAGNA,1-Gen-2008,9,MASSA LOMBARDA,5102,5347,10449
9,2080666010,EMILIA-ROMAGNA,RAVENNA,UNIONE DEI COMUNI DELLA BASSA ROMAGNA,1-Gen-2008,9,SANT'AGATA SUL SANTERNO,1400,1422,2822
1,2080666020,EMILIA-ROMAGNA,RAVENNA,UNIONE ROMAGNA FAENTINA,1-Gen-2009,6,BRISIGHELLA,3797,3867,7664
2,2080666020,EMILIA-ROMAGNA,RAVENNA,UNIONE ROMAGNA FAENTINA,1-Gen-2009,6,CASOLA VALSENIO,1381,1343,2724
3,2080666020,EMILIA-ROMAGNA,RAVENNA,UNIONE ROMAGNA FAENTINA,1-Gen-2009,6,CASTEL BOLOGNESE,4633,4886,9519
4,2080666020,EMILIA-ROMAGNA,RAVENNA,UNIONE ROMAGNA FAENTINA,1-Gen-2009,6,FAENZA,27913,29835,57748
5,2080666020,EMILIA-ROMAGNA,RAVENNA,UNIONE ROMAGNA FAENTINA,1-Gen-2009,6,RIOLO TERME,2836,2941,5777
6,2080666020,EMILIA-ROMAGNA,RAVENNA,UNIONE ROMAGNA FAENTINA,1-Gen-2009,6,SOLAROLO,2193,2296,4489
1,2080686050,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,PIANURA REGGIANA,1-Gen-2008,6,CAMPAGNOLA EMILIA,2747,2746,5493
2,2080686050,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,PIANURA REGGIANA,1-Gen-2008,6,CORREGGIO,12060,12765,24825
3,2080686050,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,PIANURA REGGIANA,1-Gen-2008,6,FABBRICO,3313,3383,6696
4,2080686050,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,PIANURA REGGIANA,1-Gen-2008,6,RIO SALICETO,3065,3027,6092
5,2080686050,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,PIANURA REGGIANA,1-Gen-2008,6,ROLO,2027,2011,4038
6,2080686050,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,PIANURA REGGIANA,1-Gen-2008,6,SAN MARTINO IN RIO,3863,3910,7773
1,2080686060,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE COLLINE MATILDICHE,1-Gen-2009,3,ALBINEA,4316,4439,8755
2,2080686060,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE COLLINE MATILDICHE,1-Gen-2009,3,QUATTRO CASTELLA,6305,6604,12909
3,2080686060,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE COLLINE MATILDICHE,1-Gen-2009,3,VEZZANO SUL CROSTOLO,2048,2166,4214
1,2080686020,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE DEI COMUNI BASSA REGGIANA,1-Gen-2009,8,BORETTO,2599,2664,5263
2,2080686020,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE DEI COMUNI BASSA REGGIANA,1-Gen-2009,8,BRESCELLO,2764,2782,5546
3,2080686020,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE DEI COMUNI BASSA REGGIANA,1-Gen-2009,8,GUALTIERI,3274,3365,6639
4,2080686020,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE DEI COMUNI BASSA REGGIANA,1-Gen-2009,8,GUASTALLA,7144,7642,14786
5,2080686020,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE DEI COMUNI BASSA REGGIANA,1-Gen-2009,8,LUZZARA,4616,4553,9169
6,2080686020,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE DEI COMUNI BASSA REGGIANA,1-Gen-2009,8,NOVELLARA,6580,6875,13455
7,2080686020,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE DEI COMUNI BASSA REGGIANA,1-Gen-2009,8,POVIGLIO,3462,3583,7045
8,2080686020,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE DEI COMUNI BASSA REGGIANA,1-Gen-2009,8,REGGIOLO,4591,4626,9217
1,2080686080,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE MONTANA DEI COMUNI DELL'APPENNINO REGGIANO,17-Gen-2014,7,CARPINETI,2040,2138,4178
2,2080686080,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE MONTANA DEI COMUNI DELL'APPENNINO REGGIANO,17-Gen-2014,7,CASINA,2255,2279,4534
3,2080686080,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE MONTANA DEI COMUNI DELL'APPENNINO REGGIANO,17-Gen-2014,7,CASTELNOVO NE' MONTI,5079,5402,10481
4,2080686080,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE MONTANA DEI COMUNI DELL'APPENNINO REGGIANO,17-Gen-2014,7,TOANO,2290,2168,4458
5,2080686080,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE MONTANA DEI COMUNI DELL'APPENNINO REGGIANO,17-Gen-2014,7,VENTASSO,2199,2208,4407
6,2080686080,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE MONTANA DEI COMUNI DELL'APPENNINO REGGIANO,17-Gen-2014,7,VETTO,980,976,1956
7,2080686080,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE MONTANA DEI COMUNI DELL'APPENNINO REGGIANO,17-Gen-2014,7,VILLA MINOZZO,1934,1966,3900
1,2080686070,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE TERRA DI MEZZO,1-Gen-2010,3,BAGNOLO IN PIANO,4577,4809,9386
2,2080686070,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE TERRA DI MEZZO,1-Gen-2010,3,CADELBOSCO DI SOPRA,5126,5283,10409
3,2080686070,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE TERRA DI MEZZO,1-Gen-2010,3,CASTELNOVO DI SOTTO,4219,4375,8594
1,2080686040,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE VAL D'ENZA,1-Gen-2009,8,BIBBIANO,4917,5048,9965
2,2080686040,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE VAL D'ENZA,1-Gen-2009,8,CAMPEGINE,2524,2590,5114
3,2080686040,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE VAL D'ENZA,1-Gen-2009,8,CANOSSA,1901,1884,3785
4,2080686040,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE VAL D'ENZA,1-Gen-2009,8,CAVRIAGO,4679,5019,9698
5,2080686040,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE VAL D'ENZA,1-Gen-2009,8,GATTATICO,2945,2954,5899
6,2080686040,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE VAL D'ENZA,1-Gen-2009,8,MONTECCHIO EMILIA,4907,5294,10201
7,2080686040,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE VAL D'ENZA,1-Gen-2009,8,SAN POLO D'ENZA,2883,3066,5949
8,2080686040,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE VAL D'ENZA,1-Gen-2009,8,SANT'ILARIO D'ENZA,5321,5618,10939
1,2080686030,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONI DI COMUNI TRESINARO SECCHIA,1-Gen-2008,6,BAISO,1739,1664,3403
2,2080686030,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONI DI COMUNI TRESINARO SECCHIA,1-Gen-2008,6,CASALGRANDE,9301,9334,18635
3,2080686030,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONI DI COMUNI TRESINARO SECCHIA,1-Gen-2008,6,CASTELLARANO,7395,7443,14838
4,2080686030,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONI DI COMUNI TRESINARO SECCHIA,1-Gen-2008,6,RUBIERA,7062,7359,14421
5,2080686030,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONI DI COMUNI TRESINARO SECCHIA,1-Gen-2008,6,SCANDIANO,12063,12729,24792
6,2080686030,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONI DI COMUNI TRESINARO SECCHIA,1-Gen-2008,6,VIANO,1692,1685,3377
1,2081016010,EMILIA-ROMAGNA,RIMINI,UNIONE DEI COMUNI DELLA VALCONCA,1-Gen-1996,8,GEMMANO,571,581,1152
2,2081016010,EMILIA-ROMAGNA,RIMINI,UNIONE DEI COMUNI DELLA VALCONCA,1-Gen-1996,8,MONDAINO,702,739,1441
3,2081016010,EMILIA-ROMAGNA,RIMINI,UNIONE DEI COMUNI DELLA VALCONCA,1-Gen-1996,8,MONTEFIORE CONCA,1084,1111,2195
4,2081016010,EMILIA-ROMAGNA,RIMINI,UNIONE DEI COMUNI DELLA VALCONCA,1-Gen-1996,8,MONTEGRIDOLFO,508,521,1029
5,2081016010,EMILIA-ROMAGNA,RIMINI,UNIONE DEI COMUNI DELLA VALCONCA,1-Gen-1996,8,MONTESCUDO - MONTE COLOMBO,3300,3306,6606
6,2081016010,EMILIA-ROMAGNA,RIMINI,UNIONE DEI COMUNI DELLA VALCONCA,1-Gen-1996,8,MORCIANO DI ROMAGNA,3349,3543,6892
7,2081016010,EMILIA-ROMAGNA,RIMINI,UNIONE DEI COMUNI DELLA VALCONCA,1-Gen-1996,8,SALUDECIO,1519,1509,3028
8,2081016010,EMILIA-ROMAGNA,RIMINI,UNIONE DEI COMUNI DELLA VALCONCA,1-Gen-1996,8,SAN CLEMENTE,2612,2622,5234
1,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,CASTELDELCI,222,223,445
2,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,MAIOLO,432,416,848
3,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,NOVAFELTRIA,3573,3709,7282
4,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,PENNABILLI,1486,1531,3017
5,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,POGGIO TORRIANA,2470,2490,4960
6,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,SAN LEO,1477,1493,2970
7,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,SANT'AGATA FELTRIA,1145,1135,2280
8,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,SANTARCANGELO DI ROMAGNA,10115,10724,20839
9,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,TALAMELLO,501,559,1060
10,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,VERUCCHIO,5018,4942,9960
1,2060356020,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO ,12-Dic-2014,9,DOBERDO' DEL LAGO,713,728,1441
2,2060356020,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO ,12-Dic-2014,9,GRADO,4066,4396,8462
3,2060356020,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO ,12-Dic-2014,9,MONFALCONE,13264,13777,27041
4,2060356020,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO ,12-Dic-2014,9,RONCHI DEI LEGIONARI,5767,6193,11960
5,2060356020,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO ,12-Dic-2014,9,SAGRADO,1091,1145,2236
6,2060356020,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO ,12-Dic-2014,9,SAN CANZIAN D'ISONZO,3109,3200,6309
7,2060356020,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO ,12-Dic-2014,9,SAN PIER D'ISONZO,1014,1005,2019
8,2060356020,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO ,12-Dic-2014,9,STARANZANO,3534,3665,7199
9,2060356020,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO ,12-Dic-2014,9,TURRIACO,1370,1410,2780
1,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,CAPRIVA DEL FRIULI,835,896,1731
2,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,CORMONS,3559,3984,7543
3,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,FARRA D'ISONZO,869,883,1752
4,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,GORIZIA,16743,18469,35212
5,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,GRADISCA D'ISONZO,3105,3423,6528
6,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,MARIANO DEL FRIULI,786,814,1600
7,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,MEDEA,475,495,970
8,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,MORARO,365,402,767
9,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,MOSSA,796,863,1659
10,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,ROMANS D'ISONZO,1790,1912,3702
11,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,SAN LORENZO ISONTINO,770,778,1548
12,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,VILLESSE,864,853,1717
1,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,ARBA,645,664,1309
2,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,CASTELNOVO DEL FRIULI,462,451,913
3,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,CAVASSO NUOVO,757,849,1606
4,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,CLAUZETTO,194,196,390
5,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,FANNA,757,799,1556
6,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,MANIAGO,5810,6008,11818
7,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,MEDUNO,831,843,1674
8,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,MONTEREALE VALCELLINA,2171,2346,4517
9,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,PINZANO AL TAGLIAMENTO,749,818,1567
10,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,SEQUALS,1080,1141,2221
11,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,SPILIMBERGO,5812,6090,11902
12,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,TRAVESIO,869,945,1814
13,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,VAJONT,879,836,1715
14,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,VITO D'ASIO,407,411,818
15,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,VIVARO,704,695,1399
1,2060936060,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' SILE,1-Lug-2016,3,AZZANO DECIMO,7652,7902,15554
2,2060936060,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' SILE,1-Lug-2016,3,CHIONS,2567,2621,5188
3,2060936060,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' SILE,1-Lug-2016,3,PRAVISDOMINI,1741,1730,3471
1,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,ANDREIS,134,148,282
2,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,AVIANO,4403,4622,9025
3,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,BARCIS,139,122,261
4,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,BUDOIA,1255,1297,2552
5,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,CANEVA,3168,3336,6504
6,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,CIMOLAIS,207,214,421
7,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,CLAUT,496,509,1005
8,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,ERTO E CASSO,194,193,387
9,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,FRISANCO,322,323,645
10,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,POLCENIGO,1518,1658,3176
11,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,TRAMONTI DI SOPRA,172,186,358
12,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,TRAMONTI DI SOTTO,208,202,410
1,2060936070,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE DEI COMUNI DI UTI DEL TAGLIAMENTO ,15-Apr-2016,7,CASARSA DELLA DELIZIA,4189,4251,8440
2,2060936070,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE DEI COMUNI DI UTI DEL TAGLIAMENTO ,15-Apr-2016,7,CORDOVADO,1356,1392,2748
3,2060936070,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE DEI COMUNI DI UTI DEL TAGLIAMENTO ,15-Apr-2016,7,MORSANO AL TAGLIAMENTO,1382,1483,2865
4,2060936070,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE DEI COMUNI DI UTI DEL TAGLIAMENTO ,15-Apr-2016,7,SAN GIORGIO DELLA RICHINVELDA,2313,2217,4530
5,2060936070,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE DEI COMUNI DI UTI DEL TAGLIAMENTO ,15-Apr-2016,7,SAN MARTINO AL TAGLIAMENTO,742,754,1496
6,2060936070,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE DEI COMUNI DI UTI DEL TAGLIAMENTO ,15-Apr-2016,7,SESTO AL REGHENA,3162,3157,6319
7,2060936070,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE DEI COMUNI DI UTI DEL TAGLIAMENTO ,15-Apr-2016,7,VALVASONE ARZENE,1935,2032,3967
1,2060936090,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE TERRITORIALE INTERCOMUNALE DEL NONCELLO,21-Ott-2016,5,FONTANAFREDDA,5732,5805,11537
2,2060936090,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE TERRITORIALE INTERCOMUNALE DEL NONCELLO,21-Ott-2016,5,PORCIA,7452,7799,15251
3,2060936090,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE TERRITORIALE INTERCOMUNALE DEL NONCELLO,21-Ott-2016,5,PORDENONE,23897,26686,50583
4,2060936090,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE TERRITORIALE INTERCOMUNALE DEL NONCELLO,21-Ott-2016,5,ROVEREDO IN PIANO,2808,2971,5779
5,2060936090,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE TERRITORIALE INTERCOMUNALE DEL NONCELLO,21-Ott-2016,5,ZOPPOLA,4241,4178,8419
1,2060926010,FRIULI-VENEZIA GIULIA,TRIESTE,UNIONE TERRITORIALE INTERCOMUNALE GIULIANA,24-Ago-2017,6,DUINO AURISINA,4103,4483,8586
2,2060926010,FRIULI-VENEZIA GIULIA,TRIESTE,UNIONE TERRITORIALE INTERCOMUNALE GIULIANA,24-Ago-2017,6,MONRUPINO,433,448,881
3,2060926010,FRIULI-VENEZIA GIULIA,TRIESTE,UNIONE TERRITORIALE INTERCOMUNALE GIULIANA,24-Ago-2017,6,MUGGIA,6298,6724,13022
4,2060926010,FRIULI-VENEZIA GIULIA,TRIESTE,UNIONE TERRITORIALE INTERCOMUNALE GIULIANA,24-Ago-2017,6,SAN DORLIGO DELLA VALLE-DOLINA,2902,3010,5912
5,2060926010,FRIULI-VENEZIA GIULIA,TRIESTE,UNIONE TERRITORIALE INTERCOMUNALE GIULIANA,24-Ago-2017,6,SGONICO,1016,1061,2077
6,2060926010,FRIULI-VENEZIA GIULIA,TRIESTE,UNIONE TERRITORIALE INTERCOMUNALE GIULIANA,24-Ago-2017,6,TRIESTE,94803,107320,202123
1,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,BUJA,3181,3446,6627
2,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,COLLOREDO DI MONTE ALBANO,1096,1135,2231
3,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,COSEANO,1097,1150,2247
4,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,DIGNANO,1137,1252,2389
5,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,FAGAGNA,3053,3226,6279
6,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,FLAIBANO,587,610,1197
7,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,FORGARIA NEL FRIULI,892,934,1826
8,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,MAJANO,2930,3121,6051
9,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,MORUZZO,1166,1225,2391
10,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,OSOPPO,1480,1526,3006
11,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,RAGOGNA,1484,1539,3023
12,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,RIVE D'ARCANO,1213,1266,2479
13,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,SAN DANIELE DEL FRIULI,3877,4195,8072
14,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,SAN VITO DI FAGAGNA,824,858,1682
